domain,variable,user ,centrality
itisdw,closeness,Y6Xm2,0.3772
itisdw,closeness,Layaljazz,0.3749
itisdw,closeness,_JohnnyKelly,0.3746
itisdw,closeness,layzhang,0.3728
itisdw,closeness,JayshreeBurnwal,0.3703
itisdw,closeness,L___1485,0.3678
itisdw,closeness,mchelledavis1,0.3671
swatch,degree,karak78,100
swatch,degree,SwatchUK,100
swatch,degree,octonion,100
swatch,degree,denisec89,99
swatch,degree,thehairspring,99
swatch,degree,SwatchUS,99
swatch,degree,KyawBala16,94
swatch,degree,SCLefrere,93
swatch,degree,dickson56757320,87
swatch,degree,CIGA_Design_UK,77
swatch,betweenness,SwatchUS,0.8202
swatch,betweenness,karak78,0.1771
swatch,betweenness,denisec89,0.1756
swatch,betweenness,octonion,0.1753
swatch,betweenness,thehairspring,0.1734
swatch,betweenness,SwatchUK,0.1721
swatch,betweenness,SCLefrere,0.1652
swatch,betweenness,KyawBala16,0.1592
swatch,betweenness,dickson56757320,0.1546
swatch,betweenness,CIGA_Design_UK,0.1312
swatch,eigenvector,SwatchUS,0.4949
swatch,eigenvector,SwatchUK,0.2578
swatch,eigenvector,thehairspring,0.2135
swatch,eigenvector,KyawBala16,0.193
swatch,eigenvector,octonion,0.1914
swatch,eigenvector,karak78,0.178
swatch,eigenvector,dickson56757320,0.1779
swatch,eigenvector,denisec89,0.1758
swatch,eigenvector,CIGA_Design_UK,0.1594
swatch,eigenvector,SCLefrere,0.1513
swatch,closeness,SwatchUS,0.5246
swatch,closeness,SwatchUK,0.3786
swatch,closeness,thehairspring,0.3771
swatch,closeness,dickson56757320,0.3769
swatch,closeness,CIGA_Design_UK,0.3742
swatch,closeness,octonion,0.3679
swatch,closeness,karak78,0.3678
swatch,closeness,denisec89,0.3677
swatch,closeness,KyawBala16,0.3663
swatch,closeness,SCLefrere,0.3662
